,sub_num,vid_str,wed_num,onset_TR,state,len_TRs,offset_TR
0,3,vid1a,1,111,1b,17,128
1,3,vid1a,2,207,1b,17,224
2,3,vid1a,3,303,1b,17,320
3,3,vid1a,4,399,1b,17,416
4,3,vid1a,5,495,1b,17,512
5,3,vid1a,6,591,1b,17,608
6,3,vid1a,7,687,1b,17,704
7,3,vid1a,8,784,1b,17,801
8,3,vid1a,9,880,1b,17,897
9,3,vid1a,10,976,1b,17,993
10,3,vid1b,1,128,1b,6,134
11,3,vid1b,2,224,1b,6,230
12,3,vid1b,3,320,1b,6,326
13,3,vid1b,4,416,1b,6,422
14,3,vid1b,5,512,1b,6,518
15,3,vid1b,6,608,1b,6,614
16,3,vid1b,7,704,1b,6,710
17,3,vid1b,8,800,1b,6,806
18,3,vid1b,9,896,1b,6,902
19,3,vid1b,10,993,1b,6,999
20,3,vid2,1,134,2a,11,145
21,3,vid2,2,230,2a,11,241
22,3,vid2,3,326,2b,11,337
23,3,vid2,4,422,2b,11,433
24,3,vid2,5,518,2b,11,529
25,3,vid2,6,614,2b,11,625
26,3,vid2,7,710,2a,11,721
27,3,vid2,8,806,2a,11,817
28,3,vid2,9,902,2b,11,913
29,3,vid2,10,999,2a,11,1010
30,3,vid3,1,145,3a,15,160
31,3,vid3,2,241,3a,15,256
32,3,vid3,3,337,3a,15,352
33,3,vid3,4,433,3a,15,448
34,3,vid3,5,529,3b,15,544
35,3,vid3,6,625,3b,15,640
36,3,vid3,7,721,3b,15,736
37,3,vid3,8,818,3b,15,833
38,3,vid3,9,914,3b,15,929
39,3,vid3,10,1010,3a,15,1025
40,3,vid4,1,160,4a,16,176
41,3,vid4,2,257,4a,16,273
42,3,vid4,3,353,4b,16,369
43,3,vid4,4,449,4b,16,465
44,3,vid4,5,545,4b,16,561
45,3,vid4,6,641,4b,16,657
46,3,vid4,7,737,4a,16,753
47,3,vid4,8,833,4a,16,849
48,3,vid4,9,929,4b,16,945
49,3,vid4,10,1025,4a,16,1041
50,3,vid5,1,176,5,7,183
51,3,vid5,2,273,5,7,280
52,3,vid5,3,369,5,7,376
53,3,vid5,4,465,5,7,472
54,3,vid5,5,561,5,7,568
55,3,vid5,6,657,5,7,664
56,3,vid5,7,753,5,7,760
57,3,vid5,8,849,5,7,856
58,3,vid5,9,945,5,7,952
59,3,vid5,10,1041,5,7,1048
60,3,vid1a_q,0,12,1b,17,29
61,3,vid1a_q,11,1075,1b,17,1092
62,3,vid1b_q,0,29,1b,6,35
63,3,vid1b_q,11,1092,1b,6,1098
64,3,vid2_q,0,35,2b,11,46
65,3,vid2_q,11,1098,2a,11,1109
66,3,vid3_q,0,49,3a,15,64
67,3,vid3_q,11,1112,3b,15,1127
68,3,vid4_q,0,67,4b,16,83
69,3,vid4_q,11,1130,4a,16,1146
70,3,vid5_q,0,83,5,7,90
71,3,vid5_q,11,1146,5,7,1153
0,4,vid1a,1,112,1b,17,129
1,4,vid1a,2,207,1b,17,224
2,4,vid1a,3,303,1b,17,320
3,4,vid1a,4,399,1b,17,416
4,4,vid1a,5,495,1b,17,512
5,4,vid1a,6,592,1b,17,609
6,4,vid1a,7,687,1b,17,704
7,4,vid1a,8,783,1b,17,800
8,4,vid1a,9,879,1b,17,896
9,4,vid1a,10,976,1b,17,993
10,4,vid1b,1,128,1b,6,134
11,4,vid1b,2,224,1b,6,230
12,4,vid1b,3,320,1b,6,326
13,4,vid1b,4,416,1b,6,422
14,4,vid1b,5,512,1b,6,518
15,4,vid1b,6,608,1b,6,614
16,4,vid1b,7,704,1b,6,710
17,4,vid1b,8,800,1b,6,806
18,4,vid1b,9,896,1b,6,902
19,4,vid1b,10,992,1b,6,998
20,4,vid2,1,134,2b,11,145
21,4,vid2,2,230,2a,11,241
22,4,vid2,3,326,2b,11,337
23,4,vid2,4,422,2b,11,433
24,4,vid2,5,518,2b,11,529
25,4,vid2,6,614,2b,11,625
26,4,vid2,7,710,2a,11,721
27,4,vid2,8,806,2b,11,817
28,4,vid2,9,902,2a,11,913
29,4,vid2,10,998,2a,11,1009
30,4,vid3,1,146,3b,15,161
31,4,vid3,2,241,3a,15,256
32,4,vid3,3,337,3a,15,352
33,4,vid3,4,433,3a,15,448
34,4,vid3,5,530,3b,15,545
35,4,vid3,6,626,3b,15,641
36,4,vid3,7,722,3b,15,737
37,4,vid3,8,817,3a,15,832
38,4,vid3,9,913,3a,15,928
39,4,vid3,10,1010,3a,15,1025
40,4,vid4,1,161,4b,16,177
41,4,vid4,2,257,4a,16,273
42,4,vid4,3,352,4b,16,368
43,4,vid4,4,449,4b,16,465
44,4,vid4,5,545,4b,16,561
45,4,vid4,6,641,4b,16,657
46,4,vid4,7,737,4a,16,753
47,4,vid4,8,832,4b,16,848
48,4,vid4,9,929,4a,16,945
49,4,vid4,10,1025,4a,16,1041
50,4,vid5,1,177,5,7,184
51,4,vid5,2,273,5,7,280
52,4,vid5,3,368,5,7,375
53,4,vid5,4,465,5,7,472
54,4,vid5,5,561,5,7,568
55,4,vid5,6,657,5,7,664
56,4,vid5,7,753,5,7,760
57,4,vid5,8,848,5,7,855
58,4,vid5,9,945,5,7,952
59,4,vid5,10,1041,5,7,1048
60,4,vid1a_q,0,12,1b,17,29
61,4,vid1a_q,11,1074,1b,17,1091
62,4,vid1b_q,0,29,1b,6,35
63,4,vid1b_q,11,1091,1b,6,1097
64,4,vid2_q,0,35,2a,11,46
65,4,vid2_q,11,1097,2a,11,1108
66,4,vid3_q,0,49,3b,15,64
67,4,vid3_q,11,1111,3b,15,1126
68,4,vid4_q,0,67,4a,16,83
69,4,vid4_q,11,1129,4a,16,1145
70,4,vid5_q,0,83,5,7,90
71,4,vid5_q,11,1145,5,7,1152
0,5,vid1a,1,112,1b,17,129
1,5,vid1a,2,207,1b,17,224
2,5,vid1a,3,303,1b,17,320
3,5,vid1a,4,399,1b,17,416
4,5,vid1a,5,496,1b,17,513
5,5,vid1a,6,592,1b,17,609
6,5,vid1a,7,688,1b,17,705
7,5,vid1a,8,784,1b,17,801
8,5,vid1a,9,880,1b,17,897
9,5,vid1a,10,976,1b,17,993
10,5,vid1b,1,128,1b,6,134
11,5,vid1b,2,224,1b,6,230
12,5,vid1b,3,320,1b,6,326
13,5,vid1b,4,416,1b,6,422
14,5,vid1b,5,512,1b,6,518
15,5,vid1b,6,608,1b,6,614
16,5,vid1b,7,704,1b,6,710
17,5,vid1b,8,800,1b,6,806
18,5,vid1b,9,897,1b,6,903
19,5,vid1b,10,993,1b,6,999
20,5,vid2,1,134,2b,11,145
21,5,vid2,2,230,2b,11,241
22,5,vid2,3,326,2b,11,337
23,5,vid2,4,422,2a,11,433
24,5,vid2,5,518,2b,11,529
25,5,vid2,6,614,2a,11,625
26,5,vid2,7,710,2b,11,721
27,5,vid2,8,806,2a,11,817
28,5,vid2,9,903,2a,11,914
29,5,vid2,10,999,2a,11,1010
30,5,vid3,1,146,3b,15,161
31,5,vid3,2,242,3b,15,257
32,5,vid3,3,338,3a,15,353
33,5,vid3,4,433,3b,15,448
34,5,vid3,5,530,3b,15,545
35,5,vid3,6,626,3a,15,641
36,5,vid3,7,722,3a,15,737
37,5,vid3,8,818,3b,15,833
38,5,vid3,9,914,3a,15,929
39,5,vid3,10,1011,3a,15,1026
40,5,vid4,1,161,4b,16,177
41,5,vid4,2,257,4b,16,273
42,5,vid4,3,353,4b,16,369
43,5,vid4,4,449,4a,16,465
44,5,vid4,5,545,4b,16,561
45,5,vid4,6,641,4a,16,657
46,5,vid4,7,737,4b,16,753
47,5,vid4,8,833,4a,16,849
48,5,vid4,9,929,4a,16,945
49,5,vid4,10,1026,4a,16,1042
50,5,vid5,1,177,5,7,184
51,5,vid5,2,273,5,7,280
52,5,vid5,3,369,5,7,376
53,5,vid5,4,465,5,7,472
54,5,vid5,5,561,5,7,568
55,5,vid5,6,657,5,7,664
56,5,vid5,7,753,5,7,760
57,5,vid5,8,849,5,7,856
58,5,vid5,9,945,5,7,952
59,5,vid5,10,1042,5,7,1049
60,5,vid1a_q,0,12,1b,17,29
61,5,vid1a_q,11,1074,1b,17,1091
62,5,vid1b_q,0,29,1b,6,35
63,5,vid1b_q,11,1091,1b,6,1097
64,5,vid2_q,0,35,2b,11,46
65,5,vid2_q,11,1097,2a,11,1108
66,5,vid3_q,0,49,3a,15,64
67,5,vid3_q,11,1111,3b,15,1126
68,5,vid4_q,0,67,4b,16,83
69,5,vid4_q,11,1129,4a,16,1145
70,5,vid5_q,0,83,5,7,90
71,5,vid5_q,11,1145,5,7,1152
0,6,vid1a,1,111,1b,17,128
1,6,vid1a,2,207,1b,17,224
2,6,vid1a,3,302,1b,17,319
3,6,vid1a,4,398,1b,17,415
4,6,vid1a,5,494,1b,17,511
5,6,vid1a,6,591,1b,17,608
6,6,vid1a,7,687,1b,17,704
7,6,vid1a,8,783,1b,17,800
8,6,vid1a,9,879,1b,17,896
9,6,vid1a,10,976,1b,17,993
10,6,vid1b,1,128,1b,6,134
11,6,vid1b,2,224,1b,6,230
12,6,vid1b,3,319,1b,6,325
13,6,vid1b,4,415,1b,6,421
14,6,vid1b,5,511,1b,6,517
15,6,vid1b,6,608,1b,6,614
16,6,vid1b,7,704,1b,6,710
17,6,vid1b,8,800,1b,6,806
18,6,vid1b,9,896,1b,6,902
19,6,vid1b,10,993,1b,6,999
20,6,vid2,1,134,2b,11,145
21,6,vid2,2,230,2b,11,241
22,6,vid2,3,325,2b,11,336
23,6,vid2,4,421,2a,11,432
24,6,vid2,5,517,2a,11,528
25,6,vid2,6,614,2b,11,625
26,6,vid2,7,710,2a,11,721
27,6,vid2,8,806,2b,11,817
28,6,vid2,9,902,2a,11,913
29,6,vid2,10,999,2a,11,1010
30,6,vid3,1,145,3b,15,160
31,6,vid3,2,241,3b,15,256
32,6,vid3,3,336,3a,15,351
33,6,vid3,4,432,3b,15,447
34,6,vid3,5,528,3a,15,543
35,6,vid3,6,625,3b,15,640
36,6,vid3,7,721,3b,15,736
37,6,vid3,8,817,3a,15,832
38,6,vid3,9,913,3a,15,928
39,6,vid3,10,1010,3a,15,1025
40,6,vid4,1,161,4b,16,177
41,6,vid4,2,257,4b,16,273
42,6,vid4,3,352,4b,16,368
43,6,vid4,4,448,4a,16,464
44,6,vid4,5,544,4a,16,560
45,6,vid4,6,640,4b,16,656
46,6,vid4,7,736,4a,16,752
47,6,vid4,8,832,4b,16,848
48,6,vid4,9,929,4a,16,945
49,6,vid4,10,1025,4a,16,1041
50,6,vid5,1,177,5,7,184
51,6,vid5,2,273,5,7,280
52,6,vid5,3,368,5,7,375
53,6,vid5,4,464,5,7,471
54,6,vid5,5,560,5,7,567
55,6,vid5,6,656,5,7,663
56,6,vid5,7,752,5,7,759
57,6,vid5,8,848,5,7,855
58,6,vid5,9,945,5,7,952
59,6,vid5,10,1041,5,7,1048
60,6,vid1a_q,0,12,1b,17,29
61,6,vid1a_q,11,1075,1b,17,1092
62,6,vid1b_q,0,29,1b,6,35
63,6,vid1b_q,11,1092,1b,6,1098
64,6,vid2_q,0,35,2b,11,46
65,6,vid2_q,11,1098,2a,11,1109
66,6,vid3_q,0,49,3a,15,64
67,6,vid3_q,11,1112,3b,15,1127
68,6,vid4_q,0,67,4b,16,83
69,6,vid4_q,11,1130,4a,16,1146
70,6,vid5_q,0,83,5,7,90
71,6,vid5_q,11,1146,5,7,1153
0,7,vid1a,1,112,1b,17,129
1,7,vid1a,2,208,1b,17,225
2,7,vid1a,3,304,1b,17,321
3,7,vid1a,4,400,1b,17,417
4,7,vid1a,5,495,1b,17,512
5,7,vid1a,6,591,1b,17,608
6,7,vid1a,7,688,1b,17,705
7,7,vid1a,8,784,1b,17,801
8,7,vid1a,9,880,1b,17,897
9,7,vid1a,10,977,1b,17,994
10,7,vid1b,1,129,1b,6,135
11,7,vid1b,2,225,1b,6,231
12,7,vid1b,3,320,1b,6,326
13,7,vid1b,4,417,1b,6,423
14,7,vid1b,5,512,1b,6,518
15,7,vid1b,6,608,1b,6,614
16,7,vid1b,7,705,1b,6,711
17,7,vid1b,8,801,1b,6,807
18,7,vid1b,9,897,1b,6,903
19,7,vid1b,10,993,1b,6,999
20,7,vid2,1,135,2b,11,146
21,7,vid2,2,231,2a,11,242
22,7,vid2,3,326,2a,11,337
23,7,vid2,4,423,2b,11,434
24,7,vid2,5,518,2a,11,529
25,7,vid2,6,614,2b,11,625
26,7,vid2,7,711,2b,11,722
27,7,vid2,8,807,2b,11,818
28,7,vid2,9,903,2b,11,914
29,7,vid2,10,999,2a,11,1010
30,7,vid3,1,146,3b,15,161
31,7,vid3,2,242,3a,15,257
32,7,vid3,3,338,3b,15,353
33,7,vid3,4,434,3a,15,449
34,7,vid3,5,529,3a,15,544
35,7,vid3,6,625,3b,15,640
36,7,vid3,7,722,3a,15,737
37,7,vid3,8,818,3a,15,833
38,7,vid3,9,914,3b,15,929
39,7,vid3,10,1011,3a,15,1026
40,7,vid4,1,162,4b,16,178
41,7,vid4,2,257,4a,16,273
42,7,vid4,3,353,4a,16,369
43,7,vid4,4,449,4b,16,465
44,7,vid4,5,545,4a,16,561
45,7,vid4,6,641,4b,16,657
46,7,vid4,7,737,4b,16,753
47,7,vid4,8,833,4b,16,849
48,7,vid4,9,930,4b,16,946
49,7,vid4,10,1026,4a,16,1042
50,7,vid5,1,178,5,7,185
51,7,vid5,2,273,5,7,280
52,7,vid5,3,369,5,7,376
53,7,vid5,4,465,5,7,472
54,7,vid5,5,561,5,7,568
55,7,vid5,6,657,5,7,664
56,7,vid5,7,753,5,7,760
57,7,vid5,8,849,5,7,856
58,7,vid5,9,946,5,7,953
59,7,vid5,10,1042,5,7,1049
60,7,vid1a_q,0,13,1b,17,30
61,7,vid1a_q,11,1075,1b,17,1092
62,7,vid1b_q,0,29,1b,6,35
63,7,vid1b_q,11,1092,1b,6,1098
64,7,vid2_q,0,35,2a,11,46
65,7,vid2_q,11,1098,2a,11,1109
66,7,vid3_q,0,49,3b,15,64
67,7,vid3_q,11,1112,3b,15,1127
68,7,vid4_q,0,67,4a,16,83
69,7,vid4_q,11,1130,4a,16,1146
70,7,vid5_q,0,83,5,7,90
71,7,vid5_q,11,1146,5,7,1153
0,8,vid1a,1,111,1b,17,128
1,8,vid1a,2,207,1b,17,224
2,8,vid1a,3,304,1b,17,321
3,8,vid1a,4,399,1b,17,416
4,8,vid1a,5,496,1b,17,513
5,8,vid1a,6,592,1b,17,609
6,8,vid1a,7,688,1b,17,705
7,8,vid1a,8,785,1b,17,802
8,8,vid1a,9,881,1b,17,898
9,8,vid1a,10,977,1b,17,994
10,8,vid1b,1,128,1b,6,134
11,8,vid1b,2,224,1b,6,230
12,8,vid1b,3,320,1b,6,326
13,8,vid1b,4,416,1b,6,422
14,8,vid1b,5,512,1b,6,518
15,8,vid1b,6,609,1b,6,615
16,8,vid1b,7,705,1b,6,711
17,8,vid1b,8,801,1b,6,807
18,8,vid1b,9,898,1b,6,904
19,8,vid1b,10,993,1b,6,999
20,8,vid2,1,134,2b,11,145
21,8,vid2,2,230,2a,11,241
22,8,vid2,3,326,2a,11,337
23,8,vid2,4,422,2b,11,433
24,8,vid2,5,518,2b,11,529
25,8,vid2,6,615,2a,11,626
26,8,vid2,7,711,2b,11,722
27,8,vid2,8,807,2a,11,818
28,8,vid2,9,904,2a,11,915
29,8,vid2,10,999,2b,11,1010
30,8,vid3,1,145,3b,15,160
31,8,vid3,2,241,3a,15,256
32,8,vid3,3,337,3b,15,352
33,8,vid3,4,433,3a,15,448
34,8,vid3,5,530,3b,15,545
35,8,vid3,6,626,3a,15,641
36,8,vid3,7,723,3a,15,738
37,8,vid3,8,819,3b,15,834
38,8,vid3,9,915,3a,15,930
39,8,vid3,10,1011,3b,15,1026
40,8,vid4,1,161,4b,16,177
41,8,vid4,2,257,4a,16,273
42,8,vid4,3,353,4a,16,369
43,8,vid4,4,449,4b,16,465
44,8,vid4,5,545,4b,16,561
45,8,vid4,6,641,4a,16,657
46,8,vid4,7,738,4b,16,754
47,8,vid4,8,834,4a,16,850
48,8,vid4,9,930,4a,16,946
49,8,vid4,10,1026,4b,16,1042
50,8,vid5,1,177,5,7,184
51,8,vid5,2,273,5,7,280
52,8,vid5,3,369,5,7,376
53,8,vid5,4,465,5,7,472
54,8,vid5,5,561,5,7,568
55,8,vid5,6,657,5,7,664
56,8,vid5,7,754,5,7,761
57,8,vid5,8,850,5,7,857
58,8,vid5,9,946,5,7,953
59,8,vid5,10,1042,5,7,1049
60,8,vid1a_q,0,12,1b,17,29
61,8,vid1a_q,11,1075,1b,17,1092
62,8,vid1b_q,0,29,1b,6,35
63,8,vid1b_q,11,1092,1b,6,1098
64,8,vid2_q,0,35,2b,11,46
65,8,vid2_q,11,1098,2a,11,1109
66,8,vid3_q,0,49,3a,15,64
67,8,vid3_q,11,1112,3b,15,1127
68,8,vid4_q,0,67,4b,16,83
69,8,vid4_q,11,1130,4a,16,1146
70,8,vid5_q,0,83,5,7,90
71,8,vid5_q,11,1146,5,7,1153
0,9,vid1a,1,112,1b,17,129
1,9,vid1a,2,207,1b,17,224
2,9,vid1a,3,303,1b,17,320
3,9,vid1a,4,399,1b,17,416
4,9,vid1a,5,495,1b,17,512
5,9,vid1a,6,592,1b,17,609
6,9,vid1a,7,688,1b,17,705
7,9,vid1a,8,784,1b,17,801
8,9,vid1a,9,880,1b,17,897
9,9,vid1a,10,977,1b,17,994
10,9,vid1b,1,128,1b,6,134
11,9,vid1b,2,224,1b,6,230
12,9,vid1b,3,320,1b,6,326
13,9,vid1b,4,416,1b,6,422
14,9,vid1b,5,512,1b,6,518
15,9,vid1b,6,608,1b,6,614
16,9,vid1b,7,704,1b,6,710
17,9,vid1b,8,801,1b,6,807
18,9,vid1b,9,897,1b,6,903
19,9,vid1b,10,993,1b,6,999
20,9,vid2,1,134,2a,11,145
21,9,vid2,2,230,2b,11,241
22,9,vid2,3,326,2a,11,337
23,9,vid2,4,422,2a,11,433
24,9,vid2,5,518,2b,11,529
25,9,vid2,6,614,2a,11,625
26,9,vid2,7,710,2b,11,721
27,9,vid2,8,807,2b,11,818
28,9,vid2,9,903,2a,11,914
29,9,vid2,10,999,2b,11,1010
30,9,vid3,1,146,3a,15,161
31,9,vid3,2,241,3b,15,256
32,9,vid3,3,337,3b,15,352
33,9,vid3,4,433,3b,15,448
34,9,vid3,5,529,3b,15,544
35,9,vid3,6,626,3a,15,641
36,9,vid3,7,722,3a,15,737
37,9,vid3,8,818,3a,15,833
38,9,vid3,9,914,3a,15,929
39,9,vid3,10,1011,3b,15,1026
40,9,vid4,1,161,4a,16,177
41,9,vid4,2,257,4b,16,273
42,9,vid4,3,353,4a,16,369
43,9,vid4,4,449,4a,16,465
44,9,vid4,5,544,4b,16,560
45,9,vid4,6,641,4a,16,657
46,9,vid4,7,737,4b,16,753
47,9,vid4,8,834,4b,16,850
48,9,vid4,9,929,4a,16,945
49,9,vid4,10,1026,4b,16,1042
50,9,vid5,1,177,5,7,184
51,9,vid5,2,273,5,7,280
52,9,vid5,3,369,5,7,376
53,9,vid5,4,465,5,7,472
54,9,vid5,5,560,5,7,567
55,9,vid5,6,657,5,7,664
56,9,vid5,7,753,5,7,760
57,9,vid5,8,850,5,7,857
58,9,vid5,9,945,5,7,952
59,9,vid5,10,1042,5,7,1049
60,9,vid1a_q,0,12,1b,17,29
61,9,vid1a_q,11,1075,1b,17,1092
62,9,vid1b_q,0,29,1b,6,35
63,9,vid1b_q,11,1092,1b,6,1098
64,9,vid2_q,0,35,2b,11,46
65,9,vid2_q,11,1098,2a,11,1109
66,9,vid3_q,0,49,3a,15,64
67,9,vid3_q,11,1112,3b,15,1127
68,9,vid4_q,0,67,4b,16,83
69,9,vid4_q,11,1130,4a,16,1146
70,9,vid5_q,0,83,5,7,90
71,9,vid5_q,11,1146,5,7,1153
0,10,vid1a,1,112,1b,17,129
1,10,vid1a,2,208,1b,17,225
2,10,vid1a,3,304,1b,17,321
3,10,vid1a,4,399,1b,17,416
4,10,vid1a,5,496,1b,17,513
5,10,vid1a,6,592,1b,17,609
6,10,vid1a,7,687,1b,17,704
7,10,vid1a,8,783,1b,17,800
8,10,vid1a,9,880,1b,17,897
9,10,vid1a,10,976,1b,17,993
10,10,vid1b,1,128,1b,6,134
11,10,vid1b,2,224,1b,6,230
12,10,vid1b,3,320,1b,6,326
13,10,vid1b,4,416,1b,6,422
14,10,vid1b,5,512,1b,6,518
15,10,vid1b,6,609,1b,6,615
16,10,vid1b,7,704,1b,6,710
17,10,vid1b,8,800,1b,6,806
18,10,vid1b,9,896,1b,6,902
19,10,vid1b,10,993,1b,6,999
20,10,vid2,1,134,2b,11,145
21,10,vid2,2,230,2a,11,241
22,10,vid2,3,326,2a,11,337
23,10,vid2,4,422,2b,11,433
24,10,vid2,5,518,2b,11,529
25,10,vid2,6,615,2b,11,626
26,10,vid2,7,710,2a,11,721
27,10,vid2,8,806,2b,11,817
28,10,vid2,9,902,2a,11,913
29,10,vid2,10,999,2a,11,1010
30,10,vid3,1,146,3b,15,161
31,10,vid3,2,242,3a,15,257
32,10,vid3,3,338,3b,15,353
33,10,vid3,4,434,3a,15,449
34,10,vid3,5,530,3b,15,545
35,10,vid3,6,626,3b,15,641
36,10,vid3,7,721,3b,15,736
37,10,vid3,8,817,3a,15,832
38,10,vid3,9,914,3a,15,929
39,10,vid3,10,1010,3a,15,1025
40,10,vid4,1,161,4b,16,177
41,10,vid4,2,257,4a,16,273
42,10,vid4,3,353,4a,16,369
43,10,vid4,4,449,4b,16,465
44,10,vid4,5,545,4b,16,561
45,10,vid4,6,641,4b,16,657
46,10,vid4,7,737,4a,16,753
47,10,vid4,8,833,4b,16,849
48,10,vid4,9,929,4a,16,945
49,10,vid4,10,1026,4a,16,1042
50,10,vid5,1,177,5,7,184
51,10,vid5,2,273,5,7,280
52,10,vid5,3,369,5,7,376
53,10,vid5,4,465,5,7,472
54,10,vid5,5,561,5,7,568
55,10,vid5,6,657,5,7,664
56,10,vid5,7,753,5,7,760
57,10,vid5,8,849,5,7,856
58,10,vid5,9,945,5,7,952
59,10,vid5,10,1042,5,7,1049
60,10,vid1a_q,0,12,1b,17,29
61,10,vid1a_q,11,1075,1b,17,1092
62,10,vid1b_q,0,29,1b,6,35
63,10,vid1b_q,11,1092,1b,6,1098
64,10,vid2_q,0,35,2b,11,46
65,10,vid2_q,11,1098,2a,11,1109
66,10,vid3_q,0,49,3a,15,64
67,10,vid3_q,11,1112,3b,15,1127
68,10,vid4_q,0,67,4b,16,83
69,10,vid4_q,11,1130,4a,16,1146
70,10,vid5_q,0,83,5,7,90
71,10,vid5_q,11,1146,5,7,1153
0,12,vid1a,1,111,1b,17,128
1,12,vid1a,2,207,1b,17,224
2,12,vid1a,3,303,1b,17,320
3,12,vid1a,4,400,1b,17,417
4,12,vid1a,5,496,1b,17,513
5,12,vid1a,6,592,1b,17,609
6,12,vid1a,7,689,1b,17,706
7,12,vid1a,8,785,1b,17,802
8,12,vid1a,9,881,1b,17,898
9,12,vid1a,10,978,1b,17,995
10,12,vid1b,1,128,1b,6,134
11,12,vid1b,2,224,1b,6,230
12,12,vid1b,3,320,1b,6,326
13,12,vid1b,4,416,1b,6,422
14,12,vid1b,5,513,1b,6,519
15,12,vid1b,6,609,1b,6,615
16,12,vid1b,7,705,1b,6,711
17,12,vid1b,8,802,1b,6,808
18,12,vid1b,9,898,1b,6,904
19,12,vid1b,10,995,1b,6,1001
20,12,vid2,1,134,2a,11,145
21,12,vid2,2,230,2a,11,241
22,12,vid2,3,326,2a,11,337
23,12,vid2,4,422,2b,11,433
24,12,vid2,5,519,2b,11,530
25,12,vid2,6,615,2a,11,626
26,12,vid2,7,711,2b,11,722
27,12,vid2,8,808,2a,11,819
28,12,vid2,9,904,2b,11,915
29,12,vid2,10,1001,2b,11,1012
30,12,vid3,1,145,3a,15,160
31,12,vid3,2,241,3a,15,256
32,12,vid3,3,337,3b,15,352
33,12,vid3,4,434,3a,15,449
34,12,vid3,5,530,3b,15,545
35,12,vid3,6,626,3a,15,641
36,12,vid3,7,723,3a,15,738
37,12,vid3,8,819,3b,15,834
38,12,vid3,9,915,3b,15,930
39,12,vid3,10,1012,3b,15,1027
40,12,vid4,1,161,4a,16,177
41,12,vid4,2,257,4a,16,273
42,12,vid4,3,353,4a,16,369
43,12,vid4,4,449,4b,16,465
44,12,vid4,5,545,4b,16,561
45,12,vid4,6,641,4a,16,657
46,12,vid4,7,738,4b,16,754
47,12,vid4,8,834,4a,16,850
48,12,vid4,9,930,4b,16,946
49,12,vid4,10,1027,4b,16,1043
50,12,vid5,1,177,5,7,184
51,12,vid5,2,273,5,7,280
52,12,vid5,3,369,5,7,376
53,12,vid5,4,465,5,7,472
54,12,vid5,5,561,5,7,568
55,12,vid5,6,657,5,7,664
56,12,vid5,7,754,5,7,761
57,12,vid5,8,850,5,7,857
58,12,vid5,9,946,5,7,953
59,12,vid5,10,1043,5,7,1050
60,12,vid1a_q,0,12,1b,17,29
61,12,vid1a_q,11,1076,1b,17,1093
62,12,vid1b_q,0,29,1b,6,35
63,12,vid1b_q,11,1093,1b,6,1099
64,12,vid2_q,0,35,2a,11,46
65,12,vid2_q,11,1099,2b,11,1110
66,12,vid3_q,0,49,3b,15,64
67,12,vid3_q,11,1113,3a,15,1128
68,12,vid4_q,0,67,4a,16,83
69,12,vid4_q,11,1131,4b,16,1147
70,12,vid5_q,0,83,5,7,90
71,12,vid5_q,11,1147,5,7,1154
0,13,vid1a,1,112,1b,17,129
1,13,vid1a,2,208,1b,17,225
2,13,vid1a,3,304,1b,17,321
3,13,vid1a,4,400,1b,17,417
4,13,vid1a,5,496,1b,17,513
5,13,vid1a,6,592,1b,17,609
6,13,vid1a,7,689,1b,17,706
7,13,vid1a,8,785,1b,17,802
8,13,vid1a,9,881,1b,17,898
9,13,vid1a,10,978,1b,17,995
10,13,vid1b,1,128,1b,6,134
11,13,vid1b,2,224,1b,6,230
